### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,422,545,-148.931,0,255,0,0,100,1,1
1,341,431,-71.8163,0,255,0,0,100,1,1
2,65,130,-93.8897,0,255,0,0,100,1,1
3,148,338,73.6508,0,255,0,0,100,1,1
4,50,365,165.747,0,255,0,0,100,1,1
5,245,516,39.7072,0,255,0,0,100,1,1
6,527,171,57.1618,0,255,0,0,100,1,1
7,319,569,156.014,0,255,0,0,100,1,1
8,336,243,135.779,0,255,0,0,100,1,1
9,43,545,-76.1986,0,255,0,0,100,1,1
10,90,236,26.312,0,255,0,0,100,1,1
11,190,216,87.1484,0,255,0,0,100,1,1
12,584,333,-53.0216,0,255,0,0,100,1,1
13,487,212,49.3056,0,255,0,0,100,1,1
14,560,193,-106.037,0,255,0,0,100,1,1
15,554,29,-19.9988,0,255,0,0,100,1,1
16,358,83,-87.131,0,255,0,0,100,1,1
17,269,273,53.2067,0,255,0,0,100,1,1
18,554,424,46.7667,0,255,0,0,100,1,1
19,80,56,9.09925,0,255,0,0,100,1,1
20,146,574,11.2795,0,255,0,0,100,1,1
21,579,181,177.954,0,255,0,0,100,1,1
22,385,350,82.9697,0,255,0,0,100,1,1
23,561,469,28.5837,0,255,0,0,100,1,1
24,54,54,108.672,0,255,0,0,100,1,1
25,158,272,-22.2122,0,255,0,0,100,1,1
26,229,269,23.5858,0,255,0,0,100,1,1
27,316,196,108.357,0,255,0,0,100,1,1
28,144,470,66.2826,0,255,0,0,100,1,1
29,317,23,-167.643,0,255,0,0,100,1,1
30,330,308,-70.5391,0,255,0,0,100,1,1
31,360,427,-40.4611,0,255,0,0,100,1,1
32,401,577,-146.284,0,255,0,0,100,1,1
33,486,285,-49.8052,0,255,0,0,100,1,1
34,559,454,132.745,0,255,0,0,100,1,1
35,307,92,-62.4924,0,255,0,0,100,1,1
36,398,76,93.3137,0,255,0,0,100,1,1
37,470,285,179.984,0,255,0,0,100,1,1
38,81,577,31.2636,0,255,0,0,100,1,1
39,524,191,48.3094,0,255,0,0,100,1,1
40,229,122,163.226,0,255,0,0,100,1,1
41,447,207,93.6418,0,255,0,0,100,1,1
42,70,81,-133.901,0,255,0,0,100,1,1
43,416,371,123.406,0,255,0,0,100,1,1
44,349,60,56.0263,0,255,0,0,100,1,1
45,511,151,-35.8259,0,255,0,0,100,1,1
46,327,579,107.429,0,255,0,0,100,1,1
47,472,495,25.8194,0,255,0,0,100,1,1
48,168,180,65.3209,0,255,0,0,100,1,1
49,246,567,30.9351,0,255,0,0,100,1,1
50,262,146,130.317,0,255,0,0,100,1,1
51,531,393,-170.553,0,255,0,0,100,1,1
52,513,235,75.9695,0,255,0,0,100,1,1
53,161,32,66.4582,0,255,0,0,100,1,1
54,443,74,178.251,0,255,0,0,100,1,1
55,367,539,163.283,0,255,0,0,100,1,1
56,423,454,137.258,0,255,0,0,100,1,1
57,518,504,-66.9695,0,255,0,0,100,1,1
58,257,377,-17.8662,0,255,0,0,100,1,1
59,85,380,-22.8136,0,255,0,0,100,1,1
60,194,89,69.0069,0,255,0,0,100,1,1
61,19,214,173.54,0,255,0,0,100,1,1
62,305,491,-177.595,0,255,0,0,100,1,1
63,371,404,-154.35,0,255,0,0,100,1,1
64,539,37,-177.009,0,255,0,0,100,1,1
65,252,193,75.5743,0,255,0,0,100,1,1
66,326,228,-14.8566,0,255,0,0,100,1,1
67,526,506,-45.4589,0,255,0,0,100,1,1
68,302,501,95.2468,0,255,0,0,100,1,1
69,469,232,-171.365,0,255,0,0,100,1,1
70,34,323,11.3196,0,255,0,0,100,1,1
71,199,119,-155.973,0,255,0,0,100,1,1
72,34,292,-52.0194,0,255,0,0,100,1,1
73,181,379,147.649,0,255,0,0,100,1,1
74,558,406,-119.156,0,255,0,0,100,1,1
75,10,151,-155.419,0,255,0,0,100,1,1
76,154,319,93.4042,0,255,0,0,100,1,1
77,62,85,123.534,0,255,0,0,100,1,1
78,559,47,-164.592,0,255,0,0,100,1,1
79,90,153,-11.9829,0,255,0,0,100,1,1
80,74,557,66.7723,0,255,0,0,100,1,1
81,52,547,-117.976,0,255,0,0,100,1,1
82,564,309,-100.119,0,255,0,0,100,1,1
83,184,500,9.11023,0,255,0,0,100,1,1
84,196,292,55.3724,0,255,0,0,100,1,1
85,263,89,-129.022,0,255,0,0,100,1,1
86,351,536,169.006,0,255,0,0,100,1,1
87,206,370,78.9482,0,255,0,0,100,1,1
88,413,427,116.298,0,255,0,0,100,1,1
89,365,268,-124.819,0,255,0,0,100,1,1
90,151,197,42.7012,0,255,0,0,100,1,1
91,112,469,-99.0572,0,255,0,0,100,1,1
92,238,294,-37.2003,0,255,0,0,100,1,1
93,404,338,107.918,0,255,0,0,100,1,1
94,108,488,-145.145,0,255,0,0,100,1,1
