### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,199,241,-0.646802,0,255,0,0,100,1,1
1,248,430,80.8434,0,255,0,0,100,1,1
2,89,465,-161.26,0,255,0,0,100,1,1
3,510,193,73.3279,0,255,0,0,100,1,1
4,251,359,-56.6352,0,255,0,0,100,1,1
5,333,532,128.823,0,255,0,0,100,1,1
6,418,155,-69.2168,0,255,0,0,100,1,1
7,314,58,-135.23,0,255,0,0,100,1,1
8,524,466,-87.7001,0,255,0,0,100,1,1
9,17,206,71.2379,0,255,0,0,100,1,1
10,120,89,170.647,0,255,0,0,100,1,1
11,291,205,-147.946,0,255,0,0,100,1,1
12,363,104,169.14,0,255,0,0,100,1,1
13,442,543,-88.9366,0,255,0,0,100,1,1
14,178,511,140.78,0,255,0,0,100,1,1
15,428,317,136.977,0,255,0,0,100,1,1
16,516,570,-165.691,0,255,0,0,100,1,1
17,236,296,-1.39014,0,255,0,0,100,1,1
18,516,552,-168.193,0,255,0,0,100,1,1
19,191,204,26.6408,0,255,0,0,100,1,1
20,203,203,-57.5108,0,255,0,0,100,1,1
21,327,196,26.1667,0,255,0,0,100,1,1
22,358,162,4.91326,0,255,0,0,100,1,1
23,409,340,12.6847,0,255,0,0,100,1,1
24,358,347,-39.6677,0,255,0,0,100,1,1
25,340,17,169.369,0,255,0,0,100,1,1
26,172,433,-90.5992,0,255,0,0,100,1,1
27,540,450,-130.972,0,255,0,0,100,1,1
28,396,304,91.2493,0,255,0,0,100,1,1
29,554,435,-85.3763,0,255,0,0,100,1,1
30,345,541,-154.157,0,255,0,0,100,1,1
31,210,424,-121.98,0,255,0,0,100,1,1
32,35,420,-55.45,0,255,0,0,100,1,1
33,372,362,-73.3321,0,255,0,0,100,1,1
34,474,193,-78.9673,0,255,0,0,100,1,1
35,435,31,34.0113,0,255,0,0,100,1,1
36,254,219,-43.9849,0,255,0,0,100,1,1
37,574,564,-134.688,0,255,0,0,100,1,1
38,183,338,2.57184,0,255,0,0,100,1,1
39,327,163,-125.171,0,255,0,0,100,1,1
40,139,106,-100.25,0,255,0,0,100,1,1
41,109,572,-56.3224,0,255,0,0,100,1,1
42,498,552,-114.252,0,255,0,0,100,1,1
43,230,375,-98.0151,0,255,0,0,100,1,1
44,263,283,-28.5621,0,255,0,0,100,1,1
45,262,65,22.9445,0,255,0,0,100,1,1
46,349,287,74.6194,0,255,0,0,100,1,1
47,161,96,172.904,0,255,0,0,100,1,1
48,29,309,-154.687,0,255,0,0,100,1,1
49,181,34,39.0531,0,255,0,0,100,1,1
50,289,52,92.5514,0,255,0,0,100,1,1
51,493,306,-103.217,0,255,0,0,100,1,1
52,214,447,-33.8133,0,255,0,0,100,1,1
53,23,474,-104.736,0,255,0,0,100,1,1
54,188,540,-90.7758,0,255,0,0,100,1,1
55,273,32,-140.331,0,255,0,0,100,1,1
56,440,562,-172.364,0,255,0,0,100,1,1
57,451,56,-47.8399,0,255,0,0,100,1,1
58,280,282,-55.7503,0,255,0,0,100,1,1
59,432,65,39.0267,0,255,0,0,100,1,1
60,26,163,149.274,0,255,0,0,100,1,1
61,319,68,127.337,0,255,0,0,100,1,1
62,14,338,12.5474,0,255,0,0,100,1,1
63,42,161,28.2912,0,255,0,0,100,1,1
64,372,258,-81.7906,0,255,0,0,100,1,1
65,146,163,137.706,0,255,0,0,100,1,1
66,233,254,-36.0845,0,255,0,0,100,1,1
67,220,468,-140.185,0,255,0,0,100,1,1
68,20,46,-142.006,0,255,0,0,100,1,1
69,63,287,-117.453,0,255,0,0,100,1,1
70,412,59,36.0415,0,255,0,0,100,1,1
71,71,269,98.5704,0,255,0,0,100,1,1
72,460,479,-34.6194,0,255,0,0,100,1,1
73,250,161,-99.1945,0,255,0,0,100,1,1
74,297,142,127.11,0,255,0,0,100,1,1
75,403,467,-168.865,0,255,0,0,100,1,1
76,77,482,63.8635,0,255,0,0,100,1,1
77,390,489,120.716,0,255,0,0,100,1,1
78,306,256,131.464,0,255,0,0,100,1,1
79,354,61,41.4101,0,255,0,0,100,1,1
80,96,79,135.417,0,255,0,0,100,1,1
81,97,119,134.675,0,255,0,0,100,1,1
82,36,575,35.6512,0,255,0,0,100,1,1
83,258,199,-39.0231,0,255,0,0,100,1,1
84,417,436,-53.3362,0,255,0,0,100,1,1
85,334,400,-42.1048,0,255,0,0,100,1,1
86,437,253,-54.8376,0,255,0,0,100,1,1
87,131,61,46.6366,0,255,0,0,100,1,1
88,549,371,109.337,0,255,0,0,100,1,1
89,557,455,-27.3536,0,255,0,0,100,1,1
90,194,118,-29.5823,0,255,0,0,100,1,1
91,306,552,21.085,0,255,0,0,100,1,1
92,259,133,-54.2587,0,255,0,0,100,1,1
93,496,383,40.1029,0,255,0,0,100,1,1
94,163,494,37.3742,0,255,0,0,100,1,1
95,204,339,-119.805,0,255,0,0,100,1,1
96,492,477,61.8607,0,255,0,0,100,1,1
97,277,137,154.272,0,255,0,0,100,1,1
98,27,134,97.2112,0,255,0,0,100,1,1
99,279,511,-123.572,0,255,0,0,100,1,1
100,250,126,40.1811,0,255,0,0,100,1,1
101,318,141,65.4978,0,255,0,0,100,1,1
102,80,274,-161.627,0,255,0,0,100,1,1
103,463,506,-11.5018,0,255,0,0,100,1,1
104,48,93,60.3706,0,255,0,0,100,1,1
105,30,450,20.8844,0,255,0,0,100,1,1
106,507,503,35.0086,0,255,0,0,100,1,1
107,72,75,103.116,0,255,0,0,100,1,1
108,544,66,-144.55,0,255,0,0,100,1,1
109,344,57,-82.9144,0,255,0,0,100,1,1
110,169,382,170.546,0,255,0,0,100,1,1
