### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,268,535,-108.341,0,255,0,0,100,1,1
1,189,259,-69.6552,0,255,0,0,100,1,1
2,87,240,106.456,0,255,0,0,100,1,1
3,326,519,-17.0093,0,255,0,0,100,1,1
4,136,566,-168.324,0,255,0,0,100,1,1
5,465,158,107.633,0,255,0,0,100,1,1
6,325,571,-132.672,0,255,0,0,100,1,1
7,493,72,-127.937,0,255,0,0,100,1,1
8,148,401,-5.08929,0,255,0,0,100,1,1
9,226,567,-91.8734,0,255,0,0,100,1,1
10,20,248,-40.0623,0,255,0,0,100,1,1
11,34,247,-152.742,0,255,0,0,100,1,1
12,22,435,77.746,0,255,0,0,100,1,1
13,190,559,-104.391,0,255,0,0,100,1,1
14,438,201,-155.635,0,255,0,0,100,1,1
15,131,242,98.6128,0,255,0,0,100,1,1
16,397,13,155.975,0,255,0,0,100,1,1
17,510,387,-114.267,0,255,0,0,100,1,1
18,312,26,37.9904,0,255,0,0,100,1,1
19,218,455,122.562,0,255,0,0,100,1,1
20,170,118,-24.5417,0,255,0,0,100,1,1
21,149,459,-31.8971,0,255,0,0,100,1,1
22,368,32,-94.3731,0,255,0,0,100,1,1
23,228,174,179.36,0,255,0,0,100,1,1
24,197,168,41.2835,0,255,0,0,100,1,1
25,191,132,-120.79,0,255,0,0,100,1,1
26,198,99,-121.835,0,255,0,0,100,1,1
27,427,207,-148.609,0,255,0,0,100,1,1
28,509,355,106.145,0,255,0,0,100,1,1
29,198,283,-156.235,0,255,0,0,100,1,1
30,303,438,52.9802,0,255,0,0,100,1,1
31,29,220,38.9661,0,255,0,0,100,1,1
32,372,437,-43.2686,0,255,0,0,100,1,1
33,563,443,124.987,0,255,0,0,100,1,1
34,144,481,-87.3195,0,255,0,0,100,1,1
35,389,63,-37.5098,0,255,0,0,100,1,1
36,402,30,-89.9772,0,255,0,0,100,1,1
37,583,95,-78.9616,0,255,0,0,100,1,1
38,162,40,55.9241,0,255,0,0,100,1,1
39,318,295,145.486,0,255,0,0,100,1,1
40,82,144,-94.1781,0,255,0,0,100,1,1
41,59,27,-59.7553,0,255,0,0,100,1,1
42,96,578,59.9148,0,255,0,0,100,1,1
43,55,512,93.9123,0,255,0,0,100,1,1
44,283,423,-39.023,0,255,0,0,100,1,1
45,489,512,-170.52,0,255,0,0,100,1,1
46,196,325,-73.4137,0,255,0,0,100,1,1
47,461,354,42.0617,0,255,0,0,100,1,1
48,545,112,83.8455,0,255,0,0,100,1,1
49,301,200,-178.75,0,255,0,0,100,1,1
50,187,145,49.8047,0,255,0,0,100,1,1
51,345,400,-12.7573,0,255,0,0,100,1,1
52,160,512,70.5587,0,255,0,0,100,1,1
53,268,81,-71.7967,0,255,0,0,100,1,1
54,354,84,71.9001,0,255,0,0,100,1,1
55,416,33,47.3328,0,255,0,0,100,1,1
56,204,176,130.985,0,255,0,0,100,1,1
57,528,290,140.111,0,255,0,0,100,1,1
58,29,94,58.8799,0,255,0,0,100,1,1
59,351,20,2.20092,0,255,0,0,100,1,1
60,197,42,179.126,0,255,0,0,100,1,1
61,38,569,45.0252,0,255,0,0,100,1,1
62,551,528,49.2083,0,255,0,0,100,1,1
63,517,507,153.009,0,255,0,0,100,1,1
64,445,15,-153.935,0,255,0,0,100,1,1
65,456,376,108.035,0,255,0,0,100,1,1
66,49,168,129.124,0,255,0,0,100,1,1
67,102,460,59.8904,0,255,0,0,100,1,1
68,119,41,-33.7092,0,255,0,0,100,1,1
69,354,555,103.913,0,255,0,0,100,1,1
70,159,345,52.9954,0,255,0,0,100,1,1
71,196,191,-159.779,0,255,0,0,100,1,1
72,96,24,-130.778,0,255,0,0,100,1,1
73,89,227,-75.5706,0,255,0,0,100,1,1
74,315,183,-107.279,0,255,0,0,100,1,1
75,69,438,33.9223,0,255,0,0,100,1,1
76,479,227,-159.485,0,255,0,0,100,1,1
77,400,527,42.3881,0,255,0,0,100,1,1
78,387,107,-136.691,0,255,0,0,100,1,1
79,358,293,-151.302,0,255,0,0,100,1,1
80,43,273,-118.395,0,255,0,0,100,1,1
81,15,526,-154.503,0,255,0,0,100,1,1
82,559,269,-170.357,0,255,0,0,100,1,1
83,330,354,-8.94183,0,255,0,0,100,1,1
84,31,417,-114.047,0,255,0,0,100,1,1
85,532,169,-68.0248,0,255,0,0,100,1,1
86,261,40,159.396,0,255,0,0,100,1,1
87,375,94,-116.651,0,255,0,0,100,1,1
88,478,243,24.4124,0,255,0,0,100,1,1
89,144,66,165.424,0,255,0,0,100,1,1
90,90,285,159.629,0,255,0,0,100,1,1
91,54,331,63.1417,0,255,0,0,100,1,1
92,470,280,-142.921,0,255,0,0,100,1,1
93,159,222,-167.965,0,255,0,0,100,1,1
94,159,289,-31.8289,0,255,0,0,100,1,1
95,281,225,134.693,0,255,0,0,100,1,1
96,170,277,165.309,0,255,0,0,100,1,1
97,61,416,178.496,0,255,0,0,100,1,1
98,80,53,112.698,0,255,0,0,100,1,1
99,93,256,-18.1883,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
