### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,162,581,44.5426,0,255,0,0,100,1,1
1,417,432,133.677,0,255,0,0,100,1,1
2,36,376,-136.62,0,255,0,0,100,1,1
3,444,61,101.737,0,255,0,0,100,1,1
4,90,163,-162.145,0,255,0,0,100,1,1
5,558,364,-124.832,0,255,0,0,100,1,1
6,239,286,-33.6112,0,255,0,0,100,1,1
7,130,276,-90.9731,0,255,0,0,100,1,1
8,485,169,-122.282,0,255,0,0,100,1,1
9,173,128,73.3536,0,255,0,0,100,1,1
10,276,136,128.006,0,255,0,0,100,1,1
11,80,192,-126.862,0,255,0,0,100,1,1
12,212,403,147.58,0,255,0,0,100,1,1
13,229,419,85.7526,0,255,0,0,100,1,1
14,357,134,-158.643,0,255,0,0,100,1,1
15,293,353,62.4335,0,255,0,0,100,1,1
16,362,264,-14.8923,0,255,0,0,100,1,1
17,538,434,176.788,0,255,0,0,100,1,1
18,500,552,65.4683,0,255,0,0,100,1,1
19,580,329,-39.8724,0,255,0,0,100,1,1
20,99,506,-34.7471,0,255,0,0,100,1,1
21,32,504,14.8442,0,255,0,0,100,1,1
22,254,530,-31.6701,0,255,0,0,100,1,1
23,401,177,11.6592,0,255,0,0,100,1,1
24,567,138,9.94659,0,255,0,0,100,1,1
25,34,310,-34.4392,0,255,0,0,100,1,1
26,126,296,63.149,0,255,0,0,100,1,1
27,125,571,12.8804,0,255,0,0,100,1,1
28,146,326,-170.266,0,255,0,0,100,1,1
29,501,201,96.8244,0,255,0,0,100,1,1
30,539,160,-80.7494,0,255,0,0,100,1,1
31,330,140,7.92536,0,255,0,0,100,1,1
32,325,403,-159.416,0,255,0,0,100,1,1
33,433,219,80.1238,0,255,0,0,100,1,1
34,380,113,9.10172,0,255,0,0,100,1,1
35,195,540,-142.878,0,255,0,0,100,1,1
36,29,330,2.35441,0,255,0,0,100,1,1
37,263,571,26.858,0,255,0,0,100,1,1
38,12,49,-131.316,0,255,0,0,100,1,1
39,87,522,-4.82961,0,255,0,0,100,1,1
40,45,400,173.851,0,255,0,0,100,1,1
41,417,450,-29.0965,0,255,0,0,100,1,1
42,184,522,156.051,0,255,0,0,100,1,1
43,517,155,65.1735,0,255,0,0,100,1,1
44,543,274,127.633,0,255,0,0,100,1,1
45,290,202,-91.0503,0,255,0,0,100,1,1
46,476,567,38.5149,0,255,0,0,100,1,1
47,100,488,53.2556,0,255,0,0,100,1,1
48,20,198,-173.615,0,255,0,0,100,1,1
49,577,425,30.3572,0,255,0,0,100,1,1
50,486,212,-169.007,0,255,0,0,100,1,1
51,464,513,-67.0951,0,255,0,0,100,1,1
52,508,399,150.245,0,255,0,0,100,1,1
53,386,80,109.58,0,255,0,0,100,1,1
54,363,98,-65.1175,0,255,0,0,100,1,1
55,143,421,99.4348,0,255,0,0,100,1,1
56,171,465,134.422,0,255,0,0,100,1,1
57,142,447,164.809,0,255,0,0,100,1,1
58,452,87,-101.576,0,255,0,0,100,1,1
59,517,458,68.4633,0,255,0,0,100,1,1
60,268,268,39.4624,0,255,0,0,100,1,1
61,16,17,-14.504,0,255,0,0,100,1,1
62,380,569,-80.6548,0,255,0,0,100,1,1
63,110,63,72.994,0,255,0,0,100,1,1
64,557,64,39.9605,0,255,0,0,100,1,1
65,242,64,-133.958,0,255,0,0,100,1,1
66,502,271,69.8281,0,255,0,0,100,1,1
67,562,288,-94.8344,0,255,0,0,100,1,1
68,346,204,-38.9757,0,255,0,0,100,1,1
69,502,17,35.0396,0,255,0,0,100,1,1
70,35,519,-138.579,0,255,0,0,100,1,1
71,319,198,48.0068,0,255,0,0,100,1,1
72,484,330,-36.4064,0,255,0,0,100,1,1
73,433,240,157.53,0,255,0,0,100,1,1
74,346,290,-56.6919,0,255,0,0,100,1,1
75,166,462,60.5409,0,255,0,0,100,1,1
76,264,470,10.4805,0,255,0,0,100,1,1
77,215,189,126.008,0,255,0,0,100,1,1
78,396,190,179.307,0,255,0,0,100,1,1
79,53,65,-19.2114,0,255,0,0,100,1,1
