### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,496,46,-103.55,0,255,0,0,100,1,1
1,573,547,124.545,0,255,0,0,100,1,1
2,566,559,-76.7562,0,255,0,0,100,1,1
3,231,314,101.778,0,255,0,0,100,1,1
4,560,330,179.296,0,255,0,0,100,1,1
5,450,62,-34.6834,0,255,0,0,100,1,1
6,379,471,41.7723,0,255,0,0,100,1,1
7,74,264,-23.5846,0,255,0,0,100,1,1
8,165,57,-83.6366,0,255,0,0,100,1,1
9,249,556,-176.006,0,255,0,0,100,1,1
10,73,358,124.483,0,255,0,0,100,1,1
11,483,216,44.0918,0,255,0,0,100,1,1
12,481,405,84.4041,0,255,0,0,100,1,1
13,384,75,-143.801,0,255,0,0,100,1,1
14,79,141,71.4233,0,255,0,0,100,1,1
15,345,425,59.6618,0,255,0,0,100,1,1
16,366,573,-42.073,0,255,0,0,100,1,1
17,294,184,-19.3646,0,255,0,0,100,1,1
18,396,530,87.0561,0,255,0,0,100,1,1
19,74,391,20.9745,0,255,0,0,100,1,1
20,368,420,-166.35,0,255,0,0,100,1,1
21,292,170,-160.888,0,255,0,0,100,1,1
22,295,257,46.2748,0,255,0,0,100,1,1
23,317,294,-53.5854,0,255,0,0,100,1,1
24,516,560,-122.357,0,255,0,0,100,1,1
25,40,376,154.246,0,255,0,0,100,1,1
26,546,342,17.2433,0,255,0,0,100,1,1
27,408,425,107.815,0,255,0,0,100,1,1
28,20,539,-2.85754,0,255,0,0,100,1,1
29,341,201,-76.219,0,255,0,0,100,1,1
30,488,346,-35.3984,0,255,0,0,100,1,1
31,369,351,-31.0945,0,255,0,0,100,1,1
32,583,298,75.4959,0,255,0,0,100,1,1
33,339,374,28.897,0,255,0,0,100,1,1
34,167,465,72.563,0,255,0,0,100,1,1
35,158,425,39.25,0,255,0,0,100,1,1
36,298,90,-12.0258,0,255,0,0,100,1,1
37,297,574,-53.4272,0,255,0,0,100,1,1
38,282,72,161.723,0,255,0,0,100,1,1
39,540,377,-138.659,0,255,0,0,100,1,1
40,61,574,120.342,0,255,0,0,100,1,1
41,304,118,-25.2643,0,255,0,0,100,1,1
42,209,365,174.853,0,255,0,0,100,1,1
43,521,257,96.8886,0,255,0,0,100,1,1
44,129,169,-77.4382,0,255,0,0,100,1,1
45,477,134,97.7316,0,255,0,0,100,1,1
46,264,564,-36.1248,0,255,0,0,100,1,1
47,270,70,38.0794,0,255,0,0,100,1,1
48,289,493,-165.976,0,255,0,0,100,1,1
49,434,403,-44.3249,0,255,0,0,100,1,1
50,321,312,-64.7829,0,255,0,0,100,1,1
51,434,294,40.1995,0,255,0,0,100,1,1
52,212,190,66.534,0,255,0,0,100,1,1
53,556,581,92.3133,0,255,0,0,100,1,1
54,565,126,-17.3277,0,255,0,0,100,1,1
55,439,448,-138.381,0,255,0,0,100,1,1
56,483,488,35.1285,0,255,0,0,100,1,1
57,134,472,-14.8658,0,255,0,0,100,1,1
58,476,497,-40.4843,0,255,0,0,100,1,1
59,366,172,177.315,0,255,0,0,100,1,1
60,354,430,-25.8422,0,255,0,0,100,1,1
61,323,96,21.7917,0,255,0,0,100,1,1
