### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,389,241,-76.1678,0,255,0,0,100,1,1
1,341,500,97.5608,0,255,0,0,100,1,1
2,501,439,-81.7457,0,255,0,0,100,1,1
3,388,482,31.7679,0,255,0,0,100,1,1
4,387,96,110.744,0,255,0,0,100,1,1
5,90,190,107.842,0,255,0,0,100,1,1
6,258,138,22.616,0,255,0,0,100,1,1
7,435,138,-41.1687,0,255,0,0,100,1,1
8,561,249,-30.0567,0,255,0,0,100,1,1
9,305,455,2.61306,0,255,0,0,100,1,1
10,518,463,53.475,0,255,0,0,100,1,1
11,145,280,62.8431,0,255,0,0,100,1,1
12,420,501,1.56279,0,255,0,0,100,1,1
13,500,456,161.83,0,255,0,0,100,1,1
14,275,169,35.5921,0,255,0,0,100,1,1
15,229,347,-155.014,0,255,0,0,100,1,1
16,120,505,149.875,0,255,0,0,100,1,1
17,502,375,-142.09,0,255,0,0,100,1,1
18,53,459,-47.2547,0,255,0,0,100,1,1
19,574,503,9.1837,0,255,0,0,100,1,1
20,32,242,-130.83,0,255,0,0,100,1,1
21,375,401,-105.409,0,255,0,0,100,1,1
22,578,12,-76.2411,0,255,0,0,100,1,1
23,176,37,-171.908,0,255,0,0,100,1,1
24,520,562,-87.1433,0,255,0,0,100,1,1
25,432,560,-142.289,0,255,0,0,100,1,1
26,118,463,-155.326,0,255,0,0,100,1,1
27,449,199,-9.60631,0,255,0,0,100,1,1
28,425,194,-19.1339,0,255,0,0,100,1,1
29,45,574,-88.9014,0,255,0,0,100,1,1
30,12,270,-73.396,0,255,0,0,100,1,1
31,119,144,-106.696,0,255,0,0,100,1,1
32,360,312,-135.794,0,255,0,0,100,1,1
33,586,222,97.7963,0,255,0,0,100,1,1
34,193,430,-176.205,0,255,0,0,100,1,1
35,557,477,-119.152,0,255,0,0,100,1,1
36,435,387,-175.726,0,255,0,0,100,1,1
37,16,456,-136.807,0,255,0,0,100,1,1
38,125,110,74.9375,0,255,0,0,100,1,1
39,116,561,76.344,0,255,0,0,100,1,1
40,56,237,40.4154,0,255,0,0,100,1,1
41,46,470,2.61962,0,255,0,0,100,1,1
42,45,31,49.8023,0,255,0,0,100,1,1
43,483,174,-146.012,0,255,0,0,100,1,1
44,120,245,117.035,0,255,0,0,100,1,1
45,533,156,76.0472,0,255,0,0,100,1,1
46,238,196,4.72427,0,255,0,0,100,1,1
47,228,73,44.4854,0,255,0,0,100,1,1
48,15,537,-154.787,0,255,0,0,100,1,1
49,280,80,-132.984,0,255,0,0,100,1,1
50,401,410,-60.5332,0,255,0,0,100,1,1
51,432,345,-164.43,0,255,0,0,100,1,1
52,521,534,-30.5911,0,255,0,0,100,1,1
53,317,103,75.4465,0,255,0,0,100,1,1
54,298,219,69.5507,0,255,0,0,100,1,1
55,580,575,178.476,0,255,0,0,100,1,1
56,451,72,-54.4097,0,255,0,0,100,1,1
57,382,415,154.393,0,255,0,0,100,1,1
58,185,247,14.5821,0,255,0,0,100,1,1
59,77,90,-78.5739,0,255,0,0,100,1,1
60,385,147,107.494,0,255,0,0,100,1,1
61,107,425,161.77,0,255,0,0,100,1,1
62,537,386,138.791,0,255,0,0,100,1,1
63,520,495,-106.343,0,255,0,0,100,1,1
64,483,133,78.4862,0,255,0,0,100,1,1
65,301,125,16.7396,0,255,0,0,100,1,1
66,481,233,-167.229,0,255,0,0,100,1,1
67,302,365,-105.012,0,255,0,0,100,1,1
68,287,273,143.264,0,255,0,0,100,1,1
69,110,406,-83.8325,0,255,0,0,100,1,1
70,76,285,54.845,0,255,0,0,100,1,1
71,142,313,-162.312,0,255,0,0,100,1,1
72,213,290,-22.4331,0,255,0,0,100,1,1
73,185,359,-108.079,0,255,0,0,100,1,1
74,405,495,73.8473,0,255,0,0,100,1,1
75,247,23,-130.562,0,255,0,0,100,1,1
76,154,325,51.087,0,255,0,0,100,1,1
77,182,570,-67.6518,0,255,0,0,100,1,1
78,113,235,127.144,0,255,0,0,100,1,1
79,496,384,-150.007,0,255,0,0,100,1,1
80,360,298,-40.6791,0,255,0,0,100,1,1
81,137,429,8.46664,0,255,0,0,100,1,1
82,94,289,-42.8404,0,255,0,0,100,1,1
83,130,253,99.5882,0,255,0,0,100,1,1
84,11,427,155.225,0,255,0,0,100,1,1
85,247,392,165.457,0,255,0,0,100,1,1
86,69,120,76.0828,0,255,0,0,100,1,1
87,89,223,22.0354,0,255,0,0,100,1,1
88,468,544,132.381,0,255,0,0,100,1,1
89,575,205,-167.378,0,255,0,0,100,1,1
90,234,270,29.9469,0,255,0,0,100,1,1
91,124,202,-59.5074,0,255,0,0,100,1,1
92,370,148,123.816,0,255,0,0,100,1,1
93,81,521,167.623,0,255,0,0,100,1,1
94,374,503,-177.455,0,255,0,0,100,1,1
95,491,262,81.6973,0,255,0,0,100,1,1
