### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,278,172,106.995,0,255,0,0,100,1,1
1,576,297,-43.1732,0,255,0,0,100,1,1
2,455,238,-144.001,0,255,0,0,100,1,1
3,360,31,-126.723,0,255,0,0,100,1,1
4,110,54,-65.77,0,255,0,0,100,1,1
5,362,224,-156.621,0,255,0,0,100,1,1
6,163,500,-58.811,0,255,0,0,100,1,1
7,476,52,154.086,0,255,0,0,100,1,1
8,372,286,-126.388,0,255,0,0,100,1,1
9,121,341,32.6769,0,255,0,0,100,1,1
10,152,96,-165.923,0,255,0,0,100,1,1
11,265,476,-80.0965,0,255,0,0,100,1,1
12,87,237,26.2913,0,255,0,0,100,1,1
13,38,406,-39.4173,0,255,0,0,100,1,1
14,164,12,-89.8051,0,255,0,0,100,1,1
15,453,128,107.941,0,255,0,0,100,1,1
16,499,141,-61.7879,0,255,0,0,100,1,1
17,380,84,-17.3543,0,255,0,0,100,1,1
18,486,424,123.198,0,255,0,0,100,1,1
19,269,219,-49.0214,0,255,0,0,100,1,1
20,339,418,-31.5397,0,255,0,0,100,1,1
21,280,408,-23.9058,0,255,0,0,100,1,1
22,122,102,152.781,0,255,0,0,100,1,1
23,154,557,-169.846,0,255,0,0,100,1,1
24,268,294,79.1944,0,255,0,0,100,1,1
25,536,495,-151.731,0,255,0,0,100,1,1
26,529,201,57.1353,0,255,0,0,100,1,1
27,172,389,-152.301,0,255,0,0,100,1,1
28,109,473,63.9746,0,255,0,0,100,1,1
29,425,321,150.832,0,255,0,0,100,1,1
30,199,179,98.0992,0,255,0,0,100,1,1
31,116,216,109.811,0,255,0,0,100,1,1
32,304,195,-133.416,0,255,0,0,100,1,1
33,126,224,-63.1893,0,255,0,0,100,1,1
34,490,438,41.0387,0,255,0,0,100,1,1
35,188,451,177.316,0,255,0,0,100,1,1
36,183,180,-86.9396,0,255,0,0,100,1,1
37,375,106,19.4943,0,255,0,0,100,1,1
38,42,471,-149.438,0,255,0,0,100,1,1
39,45,385,-143.66,0,255,0,0,100,1,1
40,54,372,97.7334,0,255,0,0,100,1,1
41,478,477,119.907,0,255,0,0,100,1,1
42,445,435,-122.819,0,255,0,0,100,1,1
43,310,143,164.61,0,255,0,0,100,1,1
44,277,420,106.855,0,255,0,0,100,1,1
45,566,118,11.6319,0,255,0,0,100,1,1
46,376,571,65.6474,0,255,0,0,100,1,1
47,232,558,-88.2075,0,255,0,0,100,1,1
48,235,319,64.5229,0,255,0,0,100,1,1
49,396,257,-179.927,0,255,0,0,100,1,1
50,444,161,12.4053,0,255,0,0,100,1,1
51,262,337,175.474,0,255,0,0,100,1,1
52,496,217,138.46,0,255,0,0,100,1,1
53,282,387,166.702,0,255,0,0,100,1,1
54,164,33,-168.459,0,255,0,0,100,1,1
55,48,264,106.218,0,255,0,0,100,1,1
56,453,535,-6.45834,0,255,0,0,100,1,1
57,175,50,-85.7359,0,255,0,0,100,1,1
58,59,499,67.6476,0,255,0,0,100,1,1
59,429,490,98.4529,0,255,0,0,100,1,1
60,467,366,-34.4412,0,255,0,0,100,1,1
61,236,362,-131.055,0,255,0,0,100,1,1
62,250,445,76.3303,0,255,0,0,100,1,1
63,323,554,168.544,0,255,0,0,100,1,1
64,106,532,-176.249,0,255,0,0,100,1,1
65,179,293,117.451,0,255,0,0,100,1,1
66,307,568,-50.7074,0,255,0,0,100,1,1
67,355,218,35.0257,0,255,0,0,100,1,1
68,68,302,34.1247,0,255,0,0,100,1,1
69,249,524,169.508,0,255,0,0,100,1,1
70,273,342,113.406,0,255,0,0,100,1,1
71,561,288,-125.332,0,255,0,0,100,1,1
72,79,30,127.886,0,255,0,0,100,1,1
73,61,468,-97.9395,0,255,0,0,100,1,1
74,232,332,-104.297,0,255,0,0,100,1,1
75,117,300,-17.3455,0,255,0,0,100,1,1
76,497,164,100.438,0,255,0,0,100,1,1
77,185,349,137.518,0,255,0,0,100,1,1
78,29,482,-16.8047,0,255,0,0,100,1,1
79,296,231,164.169,0,255,0,0,100,1,1
80,152,122,33.1992,0,255,0,0,100,1,1
81,481,300,-98.5345,0,255,0,0,100,1,1
82,138,286,-148.159,0,255,0,0,100,1,1
83,32,269,96.3764,0,255,0,0,100,1,1
84,55,575,133.201,0,255,0,0,100,1,1
85,533,128,108.623,0,255,0,0,100,1,1
86,347,470,-113.095,0,255,0,0,100,1,1
87,175,93,19.5665,0,255,0,0,100,1,1
88,445,496,-179.747,0,255,0,0,100,1,1
89,251,68,99.4395,0,255,0,0,100,1,1
90,237,117,-144.64,0,255,0,0,100,1,1
91,398,327,-175.11,0,255,0,0,100,1,1
92,395,366,84.3705,0,255,0,0,100,1,1
93,409,54,-153.415,0,255,0,0,100,1,1
94,325,199,-148.259,0,255,0,0,100,1,1
95,385,312,109.89,0,255,0,0,100,1,1
96,251,487,100.527,0,255,0,0,100,1,1
97,425,76,-13.9998,0,255,0,0,100,1,1
98,469,521,64.0376,0,255,0,0,100,1,1
99,443,94,121.214,0,255,0,0,100,1,1
100,242,198,-101.368,0,255,0,0,100,1,1
101,570,42,150.145,0,255,0,0,100,1,1
102,29,39,111.837,0,255,0,0,100,1,1
103,233,172,31.4645,0,255,0,0,100,1,1
104,12,20,159.901,0,255,0,0,100,1,1
105,367,127,-155.602,0,255,0,0,100,1,1
106,292,239,113.151,0,255,0,0,100,1,1
107,386,383,-21.9877,0,255,0,0,100,1,1
108,54,12,-70.9238,0,255,0,0,100,1,1
109,565,464,178.307,0,255,0,0,100,1,1
110,580,189,-121.364,0,255,0,0,100,1,1
111,57,204,94.1011,0,255,0,0,100,1,1
112,72,300,-136.767,0,255,0,0,100,1,1
113,471,173,25.2962,0,255,0,0,100,1,1
114,361,516,-177.413,0,255,0,0,100,1,1
115,377,440,77.1934,0,255,0,0,100,1,1
116,418,532,114.649,0,255,0,0,100,1,1
117,373,487,82.4183,0,255,0,0,100,1,1
118,508,491,-167.997,0,255,0,0,100,1,1
119,60,143,75.4412,0,255,0,0,100,1,1
120,241,375,-157.923,0,255,0,0,100,1,1
121,568,290,164.072,0,255,0,0,100,1,1
122,499,339,23.216,0,255,0,0,100,1,1
123,54,409,-120.764,0,255,0,0,100,1,1
124,504,228,162.717,0,255,0,0,100,1,1
125,526,110,81.8951,0,255,0,0,100,1,1
126,305,396,-167.918,0,255,0,0,100,1,1
127,216,562,-41.9639,0,255,0,0,100,1,1
128,221,527,-161.967,0,255,0,0,100,1,1
129,289,28,72.335,0,255,0,0,100,1,1
130,197,422,50.9505,0,255,0,0,100,1,1
131,261,102,-34.9033,0,255,0,0,100,1,1
132,427,214,2.13168,0,255,0,0,100,1,1
133,570,279,-149.232,0,255,0,0,100,1,1
134,521,483,-44.7963,0,255,0,0,100,1,1
135,327,401,-88.8017,0,255,0,0,100,1,1
136,520,467,109.587,0,255,0,0,100,1,1
137,465,549,-141.226,0,255,0,0,100,1,1
138,173,203,-75.8521,0,255,0,0,100,1,1
139,472,453,-4.21694,0,255,0,0,100,1,1
140,273,133,-100.749,0,255,0,0,100,1,1
141,246,184,-54.0739,0,255,0,0,100,1,1
142,113,274,-141.861,0,255,0,0,100,1,1
143,280,110,152.974,0,255,0,0,100,1,1
144,42,579,112.98,0,255,0,0,100,1,1
145,176,448,-48.283,0,255,0,0,100,1,1
146,465,480,80.9088,0,255,0,0,100,1,1
147,334,496,-150.194,0,255,0,0,100,1,1
148,38,453,118.66,0,255,0,0,100,1,1
149,405,575,176.898,0,255,0,0,100,1,1
150,317,516,-144.109,0,255,0,0,100,1,1
151,429,528,113.814,0,255,0,0,100,1,1
152,223,476,-66.922,0,255,0,0,100,1,1
153,150,135,-16.9906,0,255,0,0,100,1,1
154,126,301,13.8681,0,255,0,0,100,1,1
155,175,540,-131.015,0,255,0,0,100,1,1
156,296,284,-98.8923,0,255,0,0,100,1,1
157,405,267,-116.6,0,255,0,0,100,1,1
158,73,347,69.1407,0,255,0,0,100,1,1
159,551,311,92.7949,0,255,0,0,100,1,1
160,459,41,-162.99,0,255,0,0,100,1,1
161,182,440,-51.5646,0,255,0,0,100,1,1
162,231,307,156.584,0,255,0,0,100,1,1
163,34,417,-175.382,0,255,0,0,100,1,1
164,377,498,176.454,0,255,0,0,100,1,1
165,162,564,-160.965,0,255,0,0,100,1,1
166,467,576,-127.558,0,255,0,0,100,1,1
167,149,236,-14.48,0,255,0,0,100,1,1
168,283,280,75.6927,0,255,0,0,100,1,1
169,249,145,20.1945,0,255,0,0,100,1,1
170,219,97,-1.21149,0,255,0,0,100,1,1
171,72,74,53.1354,0,255,0,0,100,1,1
172,71,81,-27.311,0,255,0,0,100,1,1
173,33,249,-10.1731,0,255,0,0,100,1,1
174,438,475,-112.588,0,255,0,0,100,1,1
175,34,241,-3.23486,0,255,0,0,100,1,1
176,268,232,147.033,0,255,0,0,100,1,1
177,97,515,167.647,0,255,0,0,100,1,1
178,199,91,-64.2082,0,255,0,0,100,1,1
179,78,389,21.0481,0,255,0,0,100,1,1
180,141,401,135.631,0,255,0,0,100,1,1
181,23,22,-72.2621,0,255,0,0,100,1,1
182,289,45,-112.595,0,255,0,0,100,1,1
183,372,472,-178.889,0,255,0,0,100,1,1
184,21,135,-25.7869,0,255,0,0,100,1,1
185,182,529,-114.669,0,255,0,0,100,1,1
186,370,81,-109.869,0,255,0,0,100,1,1
187,443,190,-34.5799,0,255,0,0,100,1,1
188,452,177,-141.354,0,255,0,0,100,1,1
189,518,175,-137.215,0,255,0,0,100,1,1
190,584,152,170.941,0,255,0,0,100,1,1
191,422,163,126.221,0,255,0,0,100,1,1
192,266,155,-53.0974,0,255,0,0,100,1,1
193,137,428,-83.973,0,255,0,0,100,1,1
194,147,534,68.5467,0,255,0,0,100,1,1
195,494,410,95.4331,0,255,0,0,100,1,1
196,171,438,-66.1502,0,255,0,0,100,1,1
197,277,324,3.05581,0,255,0,0,100,1,1
198,316,227,-0.487939,0,255,0,0,100,1,1
199,274,541,-169.081,0,255,0,0,100,1,1
200,365,571,161.688,0,255,0,0,100,1,1
201,457,374,-17.4621,0,255,0,0,100,1,1
202,46,569,6.31286,0,255,0,0,100,1,1
203,430,112,55.7132,0,255,0,0,100,1,1
204,73,104,-160.175,0,255,0,0,100,1,1
205,363,477,-108.087,0,255,0,0,100,1,1
206,123,480,-175.608,0,255,0,0,100,1,1
207,128,377,55.2153,0,255,0,0,100,1,1
208,554,390,-85.8237,0,255,0,0,100,1,1
209,175,314,14.3915,0,255,0,0,100,1,1
210,247,386,-161.241,0,255,0,0,100,1,1
211,268,17,-129.419,0,255,0,0,100,1,1
212,497,50,-154.012,0,255,0,0,100,1,1
213,213,225,44.4658,0,255,0,0,100,1,1
214,349,510,-69.3972,0,255,0,0,100,1,1
215,266,170,41.9208,0,255,0,0,100,1,1
216,30,193,-177.659,0,255,0,0,100,1,1
217,408,412,-67.0236,0,255,0,0,100,1,1
218,544,428,-117.874,0,255,0,0,100,1,1
219,322,57,132.426,0,255,0,0,100,1,1
220,481,446,-96.2385,0,255,0,0,100,1,1
221,518,235,120.256,0,255,0,0,100,1,1
222,63,85,-3.95602,0,255,0,0,100,1,1
223,559,260,102.226,0,255,0,0,100,1,1
224,181,562,-151.065,0,255,0,0,100,1,1
225,158,180,-139.007,0,255,0,0,100,1,1
226,264,243,-0.0452052,0,255,0,0,100,1,1
227,239,267,41.8482,0,255,0,0,100,1,1
228,108,283,98.7596,0,255,0,0,100,1,1
229,201,287,68.9246,0,255,0,0,100,1,1
230,392,567,115.756,0,255,0,0,100,1,1
231,60,304,71.0583,0,255,0,0,100,1,1
232,521,475,-56.1123,0,255,0,0,100,1,1
233,557,231,-106.535,0,255,0,0,100,1,1
234,400,214,35.8197,0,255,0,0,100,1,1
235,271,576,138.845,0,255,0,0,100,1,1
236,237,51,-2.30822,0,255,0,0,100,1,1
237,402,128,-159.691,0,255,0,0,100,1,1
238,13,33,136.475,0,255,0,0,100,1,1
239,514,268,-53.0973,0,255,0,0,100,1,1
240,584,349,-75.5765,0,255,0,0,100,1,1
241,524,54,-95.4534,0,255,0,0,100,1,1
242,514,430,-178.988,0,255,0,0,100,1,1
243,229,221,-112.614,0,255,0,0,100,1,1
244,263,78,-9.8331,0,255,0,0,100,1,1
245,417,208,115.663,0,255,0,0,100,1,1
246,479,106,47.3485,0,255,0,0,100,1,1
247,390,315,-127.619,0,255,0,0,100,1,1
248,66,389,13.0598,0,255,0,0,100,1,1
249,128,416,13.7565,0,255,0,0,100,1,1
250,82,56,-81.94,0,255,0,0,100,1,1
251,113,342,60.2403,0,255,0,0,100,1,1
252,184,386,-166.282,0,255,0,0,100,1,1
253,41,372,-141.043,0,255,0,0,100,1,1
254,579,70,-82.8464,0,255,0,0,100,1,1
255,74,480,-5.98834,0,255,0,0,100,1,1
256,547,14,-26.6512,0,255,0,0,100,1,1
257,20,65,109.093,0,255,0,0,100,1,1
258,457,263,-92.7336,0,255,0,0,100,1,1
259,346,504,43.0074,0,255,0,0,100,1,1
260,51,354,174.786,0,255,0,0,100,1,1
261,554,25,4.59619,0,255,0,0,100,1,1
262,153,522,128.881,0,255,0,0,100,1,1
263,217,383,24.1753,0,255,0,0,100,1,1
264,478,505,179.924,0,255,0,0,100,1,1
265,487,125,21.3712,0,255,0,0,100,1,1
266,253,275,130.664,0,255,0,0,100,1,1
267,197,166,-64.2866,0,255,0,0,100,1,1
268,81,345,-117.423,0,255,0,0,100,1,1
269,104,378,40.8528,0,255,0,0,100,1,1
270,544,169,-175.615,0,255,0,0,100,1,1
271,372,94,-24.4482,0,255,0,0,100,1,1
272,333,510,-178.538,0,255,0,0,100,1,1
273,350,260,-54.8538,0,255,0,0,100,1,1
274,340,61,96.7569,0,255,0,0,100,1,1
275,563,125,-109.949,0,255,0,0,100,1,1
276,578,161,116.83,0,255,0,0,100,1,1
277,241,516,151.705,0,255,0,0,100,1,1
278,337,565,-63.0361,0,255,0,0,100,1,1
279,394,201,-163.347,0,255,0,0,100,1,1
280,506,88,160.358,0,255,0,0,100,1,1
281,145,198,110.404,0,255,0,0,100,1,1
282,345,342,63.0897,0,255,0,0,100,1,1
283,70,52,148.291,0,255,0,0,100,1,1
284,533,511,40.1032,0,255,0,0,100,1,1
285,86,12,-79.6352,0,255,0,0,100,1,1
286,559,460,-73.8674,0,255,0,0,100,1,1
