### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,518,553,9.67297,0,255,0,0,100,1,1
1,203,401,-22.2075,0,255,0,0,100,1,1
2,219,443,94.2447,0,255,0,0,100,1,1
3,330,386,98.2983,0,255,0,0,100,1,1
4,329,80,78.0495,0,255,0,0,100,1,1
5,502,535,-103.711,0,255,0,0,100,1,1
6,61,185,-149.053,0,255,0,0,100,1,1
7,463,121,-114.443,0,255,0,0,100,1,1
8,538,369,-46.8666,0,255,0,0,100,1,1
9,181,312,63.3177,0,255,0,0,100,1,1
10,112,538,-125.266,0,255,0,0,100,1,1
11,452,362,179.245,0,255,0,0,100,1,1
12,499,22,119.294,0,255,0,0,100,1,1
13,398,72,-127.041,0,255,0,0,100,1,1
14,464,436,-49.3252,0,255,0,0,100,1,1
15,149,38,105.17,0,255,0,0,100,1,1
16,19,256,-90.3215,0,255,0,0,100,1,1
17,282,370,-32.9815,0,255,0,0,100,1,1
18,450,524,-23.9774,0,255,0,0,100,1,1
19,508,356,-86.5462,0,255,0,0,100,1,1
20,69,178,148.759,0,255,0,0,100,1,1
21,191,501,38.7782,0,255,0,0,100,1,1
22,78,263,40.1193,0,255,0,0,100,1,1
23,321,114,177.64,0,255,0,0,100,1,1
24,215,222,-42.5857,0,255,0,0,100,1,1
25,290,86,38.688,0,255,0,0,100,1,1
26,373,577,112.684,0,255,0,0,100,1,1
27,349,417,-53.6599,0,255,0,0,100,1,1
28,257,66,102.286,0,255,0,0,100,1,1
29,129,491,148.798,0,255,0,0,100,1,1
30,308,400,145.361,0,255,0,0,100,1,1
31,315,345,-30.4688,0,255,0,0,100,1,1
32,304,484,1.0689,0,255,0,0,100,1,1
33,555,311,-145.688,0,255,0,0,100,1,1
34,280,125,-81.2635,0,255,0,0,100,1,1
35,584,247,131.108,0,255,0,0,100,1,1
36,360,219,-150.715,0,255,0,0,100,1,1
37,14,403,-163.379,0,255,0,0,100,1,1
38,404,82,-173.854,0,255,0,0,100,1,1
39,494,74,39.5016,0,255,0,0,100,1,1
40,517,246,98.6841,0,255,0,0,100,1,1
41,239,472,-44.9541,0,255,0,0,100,1,1
42,62,53,-88.2453,0,255,0,0,100,1,1
43,116,490,-70.456,0,255,0,0,100,1,1
44,232,132,107.91,0,255,0,0,100,1,1
45,407,493,101.2,0,255,0,0,100,1,1
46,403,218,-70.1718,0,255,0,0,100,1,1
47,165,256,168.283,0,255,0,0,100,1,1
48,187,153,109.047,0,255,0,0,100,1,1
49,370,510,5.77223,0,255,0,0,100,1,1
50,243,194,149.245,0,255,0,0,100,1,1
51,156,265,52.4743,0,255,0,0,100,1,1
52,451,181,2.3825,0,255,0,0,100,1,1
53,409,478,85.0054,0,255,0,0,100,1,1
54,168,364,-143.231,0,255,0,0,100,1,1
55,33,531,-70.3493,0,255,0,0,100,1,1
56,405,212,-44.6541,0,255,0,0,100,1,1
57,310,69,-127.157,0,255,0,0,100,1,1
58,359,139,-80.2787,0,255,0,0,100,1,1
59,434,186,170.024,0,255,0,0,100,1,1
60,446,14,132.493,0,255,0,0,100,1,1
61,307,334,-145.212,0,255,0,0,100,1,1
62,265,139,10.3703,0,255,0,0,100,1,1
63,576,466,-9.76244,0,255,0,0,100,1,1
64,438,319,139.626,0,255,0,0,100,1,1
65,129,82,103.092,0,255,0,0,100,1,1
66,132,582,91.7472,0,255,0,0,100,1,1
67,568,42,-169.761,0,255,0,0,100,1,1
68,38,49,-93.6656,0,255,0,0,100,1,1
69,472,266,151.775,0,255,0,0,100,1,1
70,47,197,-18.5622,0,255,0,0,100,1,1
71,511,482,-140.53,0,255,0,0,100,1,1
72,477,208,-11.1658,0,255,0,0,100,1,1
73,266,83,59.0972,0,255,0,0,100,1,1
74,29,565,131.298,0,255,0,0,100,1,1
75,110,510,-96.5528,0,255,0,0,100,1,1
76,321,401,5.52282,0,255,0,0,100,1,1
77,215,414,-91.0664,0,255,0,0,100,1,1
78,96,195,12.0328,0,255,0,0,100,1,1
79,209,407,-95.7203,0,255,0,0,100,1,1
80,302,578,61.4554,0,255,0,0,100,1,1
81,442,368,39.7996,0,255,0,0,100,1,1
82,373,238,50.4425,0,255,0,0,100,1,1
83,216,536,-155.469,0,255,0,0,100,1,1
84,430,561,107.594,0,255,0,0,100,1,1
85,313,389,108.202,0,255,0,0,100,1,1
86,436,72,-41.5859,0,255,0,0,100,1,1
87,351,289,-98.5312,0,255,0,0,100,1,1
88,51,94,-53.8224,0,255,0,0,100,1,1
89,153,574,6.94007,0,255,0,0,100,1,1
90,115,165,-78.8992,0,255,0,0,100,1,1
91,17,580,147.697,0,255,0,0,100,1,1
92,520,446,-74.3019,0,255,0,0,100,1,1
93,391,23,-67.6803,0,255,0,0,100,1,1
94,567,72,-115.523,0,255,0,0,100,1,1
95,382,423,-19.0366,0,255,0,0,100,1,1
96,195,255,99.0739,0,255,0,0,100,1,1
97,376,259,-168.848,0,255,0,0,100,1,1
98,75,222,-160.83,0,255,0,0,100,1,1
99,205,331,-2.12734,0,255,0,0,100,1,1
100,518,401,11.2099,0,255,0,0,100,1,1
101,218,339,-129.638,0,255,0,0,100,1,1
102,304,559,-144.199,0,255,0,0,100,1,1
103,299,183,102.545,0,255,0,0,100,1,1
104,425,248,46.9593,0,255,0,0,100,1,1
105,115,441,-60.3594,0,255,0,0,100,1,1
106,292,516,102.754,0,255,0,0,100,1,1
107,374,447,146.52,0,255,0,0,100,1,1
108,108,491,53.1689,0,255,0,0,100,1,1
109,240,527,-22.9155,0,255,0,0,100,1,1
110,505,302,56.2668,0,255,0,0,100,1,1
111,565,111,-139.508,0,255,0,0,100,1,1
112,46,433,125.559,0,255,0,0,100,1,1
113,93,281,82.3949,0,255,0,0,100,1,1
114,430,513,-40.5679,0,255,0,0,100,1,1
115,517,251,-107.308,0,255,0,0,100,1,1
116,442,256,-123.934,0,255,0,0,100,1,1
117,13,109,-33.012,0,255,0,0,100,1,1
118,504,492,-7.0504,0,255,0,0,100,1,1
119,544,398,-130.654,0,255,0,0,100,1,1
120,324,442,127.975,0,255,0,0,100,1,1
121,210,133,-108.553,0,255,0,0,100,1,1
122,153,71,159.318,0,255,0,0,100,1,1
123,183,341,-28.3024,0,255,0,0,100,1,1
124,464,490,-57.5791,0,255,0,0,100,1,1
125,86,424,26.694,0,255,0,0,100,1,1
126,268,122,-67.8452,0,255,0,0,100,1,1
127,138,419,-118.733,0,255,0,0,100,1,1
128,342,39,99.7035,0,255,0,0,100,1,1
129,576,123,2.38356,0,255,0,0,100,1,1
130,161,282,-169.505,0,255,0,0,100,1,1
131,338,558,-61.8182,0,255,0,0,100,1,1
132,77,502,4.25723,0,255,0,0,100,1,1
133,497,518,73.1682,0,255,0,0,100,1,1
134,396,448,124.923,0,255,0,0,100,1,1
135,353,232,-81.4023,0,255,0,0,100,1,1
136,76,305,-88.5542,0,255,0,0,100,1,1
137,61,482,-178.256,0,255,0,0,100,1,1
138,43,443,-117.683,0,255,0,0,100,1,1
139,113,83,92.4519,0,255,0,0,100,1,1
140,474,543,-127.729,0,255,0,0,100,1,1
141,429,91,89.2645,0,255,0,0,100,1,1
142,406,545,-59.5777,0,255,0,0,100,1,1
143,330,209,-127.727,0,255,0,0,100,1,1
144,165,579,75.945,0,255,0,0,100,1,1
145,392,393,-112.774,0,255,0,0,100,1,1
146,535,207,41.1193,0,255,0,0,100,1,1
147,269,376,-12.1371,0,255,0,0,100,1,1
148,451,506,-115.716,0,255,0,0,100,1,1
149,556,64,-107.194,0,255,0,0,100,1,1
150,482,179,-70.8382,0,255,0,0,100,1,1
151,131,382,132.512,0,255,0,0,100,1,1
152,180,537,6.96282,0,255,0,0,100,1,1
153,394,208,-82.4251,0,255,0,0,100,1,1
154,470,416,62.4367,0,255,0,0,100,1,1
155,507,332,-71.9657,0,255,0,0,100,1,1
156,181,55,-100.625,0,255,0,0,100,1,1
157,566,434,-90.3917,0,255,0,0,100,1,1
158,456,220,21.5096,0,255,0,0,100,1,1
159,367,491,1.52509,0,255,0,0,100,1,1
160,147,52,114.795,0,255,0,0,100,1,1
161,77,544,-6.05222,0,255,0,0,100,1,1
162,582,235,-32.9083,0,255,0,0,100,1,1
163,462,416,56.4804,0,255,0,0,100,1,1
164,83,538,23.9948,0,255,0,0,100,1,1
165,126,316,-87.5843,0,255,0,0,100,1,1
166,148,418,-19.6955,0,255,0,0,100,1,1
167,191,284,108.197,0,255,0,0,100,1,1
168,388,351,-23.4215,0,255,0,0,100,1,1
169,30,207,-61.7999,0,255,0,0,100,1,1
170,411,486,81.7391,0,255,0,0,100,1,1
171,62,460,76.3825,0,255,0,0,100,1,1
172,518,92,-69.1101,0,255,0,0,100,1,1
173,69,160,-104.235,0,255,0,0,100,1,1
174,577,72,-31.4013,0,255,0,0,100,1,1
175,458,200,-131.772,0,255,0,0,100,1,1
