### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,523,212,-56.6789,0,255,0,0,100,1,1
1,494,339,-90.9338,0,255,0,0,100,1,1
2,411,278,72.6835,0,255,0,0,100,1,1
3,71,81,-124.182,0,255,0,0,100,1,1
4,34,357,148.284,0,255,0,0,100,1,1
5,21,171,46.9155,0,255,0,0,100,1,1
6,416,70,-150.01,0,255,0,0,100,1,1
7,25,109,-178.492,0,255,0,0,100,1,1
8,460,300,21.5708,0,255,0,0,100,1,1
9,239,184,50.5452,0,255,0,0,100,1,1
10,265,126,47.4937,0,255,0,0,100,1,1
11,570,186,-167.794,0,255,0,0,100,1,1
12,66,178,-110.749,0,255,0,0,100,1,1
13,299,94,8.517,0,255,0,0,100,1,1
14,534,424,-177.195,0,255,0,0,100,1,1
15,190,61,-57.562,0,255,0,0,100,1,1
16,135,392,-156.599,0,255,0,0,100,1,1
17,585,365,-10.97,0,255,0,0,100,1,1
18,109,581,33.276,0,255,0,0,100,1,1
19,419,25,-166.033,0,255,0,0,100,1,1
20,510,61,-152.85,0,255,0,0,100,1,1
21,74,135,-99.7899,0,255,0,0,100,1,1
22,523,457,119.279,0,255,0,0,100,1,1
23,39,36,106.28,0,255,0,0,100,1,1
24,279,153,-107.685,0,255,0,0,100,1,1
25,302,329,72.6459,0,255,0,0,100,1,1
26,374,553,-22.9417,0,255,0,0,100,1,1
27,287,182,79.6736,0,255,0,0,100,1,1
28,148,74,136.454,0,255,0,0,100,1,1
29,235,90,133.909,0,255,0,0,100,1,1
30,214,197,173.982,0,255,0,0,100,1,1
31,550,449,76.1025,0,255,0,0,100,1,1
32,331,536,97.4611,0,255,0,0,100,1,1
33,400,413,161.349,0,255,0,0,100,1,1
34,551,220,20.9482,0,255,0,0,100,1,1
35,555,366,-29.6006,0,255,0,0,100,1,1
36,47,16,16.8432,0,255,0,0,100,1,1
37,141,559,70.5625,0,255,0,0,100,1,1
38,449,36,136.81,0,255,0,0,100,1,1
39,368,427,41.1439,0,255,0,0,100,1,1
40,437,483,47.6871,0,255,0,0,100,1,1
41,445,491,-136.262,0,255,0,0,100,1,1
42,126,123,101.687,0,255,0,0,100,1,1
43,534,291,-55.0629,0,255,0,0,100,1,1
44,27,380,-83.2152,0,255,0,0,100,1,1
45,425,100,-171.547,0,255,0,0,100,1,1
46,585,154,-113.295,0,255,0,0,100,1,1
47,507,155,33.1421,0,255,0,0,100,1,1
48,17,347,-104.032,0,255,0,0,100,1,1
49,458,66,21.8399,0,255,0,0,100,1,1
50,328,212,160.912,0,255,0,0,100,1,1
51,443,67,-147.986,0,255,0,0,100,1,1
52,139,430,-132.215,0,255,0,0,100,1,1
53,343,83,-1.93013,0,255,0,0,100,1,1
54,22,314,-126.916,0,255,0,0,100,1,1
55,576,443,149.333,0,255,0,0,100,1,1
56,149,459,-9.64609,0,255,0,0,100,1,1
57,401,556,-32.2486,0,255,0,0,100,1,1
58,484,27,-29.5431,0,255,0,0,100,1,1
59,128,402,95.2013,0,255,0,0,100,1,1
60,436,179,-129.468,0,255,0,0,100,1,1
61,230,438,-163.068,0,255,0,0,100,1,1
62,363,245,-52.3497,0,255,0,0,100,1,1
63,512,427,-118.728,0,255,0,0,100,1,1
64,344,205,155.375,0,255,0,0,100,1,1
65,175,540,171.391,0,255,0,0,100,1,1
66,191,282,-61.1918,0,255,0,0,100,1,1
67,540,139,-40.173,0,255,0,0,100,1,1
68,303,50,-44.9746,0,255,0,0,100,1,1
69,177,418,153.762,0,255,0,0,100,1,1
70,585,401,-62.0559,0,255,0,0,100,1,1
71,239,407,-168.917,0,255,0,0,100,1,1
72,123,579,-68.2389,0,255,0,0,100,1,1
73,375,58,-10.39,0,255,0,0,100,1,1
74,503,273,-108.468,0,255,0,0,100,1,1
75,566,239,175.888,0,255,0,0,100,1,1
76,491,578,-83.7298,0,255,0,0,100,1,1
77,99,81,-158.847,0,255,0,0,100,1,1
78,229,565,-89.7108,0,255,0,0,100,1,1
79,394,122,49.6973,0,255,0,0,100,1,1
80,278,274,-145.96,0,255,0,0,100,1,1
81,125,325,-56.2193,0,255,0,0,100,1,1
82,168,283,163.201,0,255,0,0,100,1,1
83,422,582,7.16928,0,255,0,0,100,1,1
84,545,257,-175.815,0,255,0,0,100,1,1
85,178,30,10.2251,0,255,0,0,100,1,1
86,316,422,-32.5272,0,255,0,0,100,1,1
87,499,233,-113.846,0,255,0,0,100,1,1
88,94,257,-169.904,0,255,0,0,100,1,1
89,442,451,126.305,0,255,0,0,100,1,1
90,443,251,5.66356,0,255,0,0,100,1,1
91,356,401,104.736,0,255,0,0,100,1,1
92,297,410,-71.5993,0,255,0,0,100,1,1
93,316,214,-145.875,0,255,0,0,100,1,1
94,434,563,-79.4338,0,255,0,0,100,1,1
95,365,295,15.6817,0,255,0,0,100,1,1
96,262,312,159.76,0,255,0,0,100,1,1
97,350,486,-107.3,0,255,0,0,100,1,1
98,417,342,-90.0507,0,255,0,0,100,1,1
99,442,224,-146.018,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
### ### ###
#
# Landmarks
#
# id, x, y
#
#
