### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,446,319,-48.5656,0,255,0,0,100,1,1
1,326,42,154.642,0,255,0,0,100,1,1
2,493,210,71.076,0,255,0,0,100,1,1
3,552,39,-133.462,0,255,0,0,100,1,1
4,193,288,161.511,0,255,0,0,100,1,1
5,565,12,-141.187,0,255,0,0,100,1,1
6,463,25,-119.737,0,255,0,0,100,1,1
7,118,337,54.6418,0,255,0,0,100,1,1
8,31,47,-76.99,0,255,0,0,100,1,1
9,444,304,171.803,0,255,0,0,100,1,1
10,35,72,-126.565,0,255,0,0,100,1,1
11,465,569,132.041,0,255,0,0,100,1,1
12,169,273,51.84,0,255,0,0,100,1,1
13,225,65,162.916,0,255,0,0,100,1,1
14,168,356,-17.4889,0,255,0,0,100,1,1
15,465,83,-149.166,0,255,0,0,100,1,1
16,533,461,68.8599,0,255,0,0,100,1,1
17,569,366,-14.5578,0,255,0,0,100,1,1
18,235,504,-158.79,0,255,0,0,100,1,1
19,246,561,-146.847,0,255,0,0,100,1,1
20,126,119,175.454,0,255,0,0,100,1,1
21,200,443,-114.963,0,255,0,0,100,1,1
22,192,79,-101.937,0,255,0,0,100,1,1
23,511,72,168.273,0,255,0,0,100,1,1
24,443,486,-32.3592,0,255,0,0,100,1,1
25,157,273,53.8253,0,255,0,0,100,1,1
26,93,129,-49.5026,0,255,0,0,100,1,1
27,26,225,98.7189,0,255,0,0,100,1,1
28,90,277,115.15,0,255,0,0,100,1,1
29,178,339,-71.3167,0,255,0,0,100,1,1
30,399,220,-2.69108,0,255,0,0,100,1,1
31,48,174,137.921,0,255,0,0,100,1,1
32,355,315,43.5494,0,255,0,0,100,1,1
33,364,509,-71.3282,0,255,0,0,100,1,1
34,505,323,-86.3519,0,255,0,0,100,1,1
35,576,326,-138.092,0,255,0,0,100,1,1
36,82,249,100.574,0,255,0,0,100,1,1
37,383,320,-75.521,0,255,0,0,100,1,1
38,536,427,62.7824,0,255,0,0,100,1,1
39,224,439,36.225,0,255,0,0,100,1,1
40,213,195,-168.469,0,255,0,0,100,1,1
41,379,58,-162.996,0,255,0,0,100,1,1
42,536,283,175.4,0,255,0,0,100,1,1
43,438,286,133.011,0,255,0,0,100,1,1
44,126,513,-172.48,0,255,0,0,100,1,1
45,82,30,-175.439,0,255,0,0,100,1,1
46,546,204,149.49,0,255,0,0,100,1,1
47,32,305,-125.956,0,255,0,0,100,1,1
48,363,62,101.504,0,255,0,0,100,1,1
49,67,378,107.616,0,255,0,0,100,1,1
50,306,262,4.29067,0,255,0,0,100,1,1
51,283,482,-105.113,0,255,0,0,100,1,1
52,450,243,176.746,0,255,0,0,100,1,1
53,67,523,85.4819,0,255,0,0,100,1,1
54,328,434,55.2563,0,255,0,0,100,1,1
55,416,240,-158.532,0,255,0,0,100,1,1
56,85,166,73.7809,0,255,0,0,100,1,1
57,149,254,32.0143,0,255,0,0,100,1,1
58,104,222,14.9006,0,255,0,0,100,1,1
59,381,440,89.8114,0,255,0,0,100,1,1
60,370,223,-61.7799,0,255,0,0,100,1,1
61,39,487,-132.822,0,255,0,0,100,1,1
62,430,103,-60.8589,0,255,0,0,100,1,1
63,65,301,-43.8727,0,255,0,0,100,1,1
64,585,187,-132.94,0,255,0,0,100,1,1
65,567,401,131.779,0,255,0,0,100,1,1
66,540,133,144.305,0,255,0,0,100,1,1
67,286,23,-123.375,0,255,0,0,100,1,1
68,424,414,57.6049,0,255,0,0,100,1,1
69,319,127,81.3811,0,255,0,0,100,1,1
70,240,209,-131.08,0,255,0,0,100,1,1
71,509,86,6.35889,0,255,0,0,100,1,1
72,399,24,36.3008,0,255,0,0,100,1,1
73,77,358,64.5164,0,255,0,0,100,1,1
74,422,406,35.2728,0,255,0,0,100,1,1
75,457,370,-62.2114,0,255,0,0,100,1,1
76,420,75,34.3193,0,255,0,0,100,1,1
77,268,303,-155.581,0,255,0,0,100,1,1
78,484,210,-60.5066,0,255,0,0,100,1,1
79,42,19,-123.485,0,255,0,0,100,1,1
80,143,420,4.54337,0,255,0,0,100,1,1
81,496,44,-120.367,0,255,0,0,100,1,1
82,569,567,-93.131,0,255,0,0,100,1,1
83,181,409,-24.9429,0,255,0,0,100,1,1
84,472,168,26.4688,0,255,0,0,100,1,1
85,59,492,-88.2598,0,255,0,0,100,1,1
86,25,32,78.1158,0,255,0,0,100,1,1
87,395,434,69.1535,0,255,0,0,100,1,1
88,220,267,-3.20321,0,255,0,0,100,1,1
89,273,419,153.926,0,255,0,0,100,1,1
90,222,89,-98.9283,0,255,0,0,100,1,1
91,59,222,93.442,0,255,0,0,100,1,1
92,256,263,80.7279,0,255,0,0,100,1,1
93,448,539,-177.846,0,255,0,0,100,1,1
94,108,295,-30.3434,0,255,0,0,100,1,1
95,164,65,137.177,0,255,0,0,100,1,1
96,395,505,-100.355,0,255,0,0,100,1,1
97,420,314,-140.093,0,255,0,0,100,1,1
98,327,306,112.161,0,255,0,0,100,1,1
99,543,402,-123.096,0,255,0,0,100,1,1
100,465,125,-33.0873,0,255,0,0,100,1,1
101,370,23,-39.907,0,255,0,0,100,1,1
102,19,108,177.104,0,255,0,0,100,1,1
103,510,480,-97.7048,0,255,0,0,100,1,1
104,533,48,-107.752,0,255,0,0,100,1,1
105,457,406,-5.95498,0,255,0,0,100,1,1
106,569,519,-28.9973,0,255,0,0,100,1,1
107,501,240,-67.5926,0,255,0,0,100,1,1
108,10,324,95.657,0,255,0,0,100,1,1
109,369,346,55.8313,0,255,0,0,100,1,1
110,89,56,132.583,0,255,0,0,100,1,1
111,355,304,-78.6818,0,255,0,0,100,1,1
112,425,465,31.2415,0,255,0,0,100,1,1
113,339,63,173.728,0,255,0,0,100,1,1
114,337,385,-70.0143,0,255,0,0,100,1,1
115,50,554,-95.3665,0,255,0,0,100,1,1
116,145,396,-128.516,0,255,0,0,100,1,1
117,285,164,-35.558,0,255,0,0,100,1,1
118,337,527,41.7823,0,255,0,0,100,1,1
119,580,103,-162.22,0,255,0,0,100,1,1
120,110,73,-163.005,0,255,0,0,100,1,1
121,502,283,-10.6637,0,255,0,0,100,1,1
122,485,341,28.9987,0,255,0,0,100,1,1
123,388,305,-21.1677,0,255,0,0,100,1,1
124,293,147,139.594,0,255,0,0,100,1,1
125,47,236,37.3219,0,255,0,0,100,1,1
126,353,271,-152.987,0,255,0,0,100,1,1
127,446,113,-107.655,0,255,0,0,100,1,1
128,512,39,-139.333,0,255,0,0,100,1,1
129,374,261,-156.254,0,255,0,0,100,1,1
130,78,189,114.829,0,255,0,0,100,1,1
131,25,397,143.336,0,255,0,0,100,1,1
132,425,212,89.4581,0,255,0,0,100,1,1
133,315,105,-52.6,0,255,0,0,100,1,1
134,339,193,-86.9282,0,255,0,0,100,1,1
135,78,219,-115.76,0,255,0,0,100,1,1
136,63,423,-33.9226,0,255,0,0,100,1,1
137,134,454,-51.9868,0,255,0,0,100,1,1
138,178,113,-66.5428,0,255,0,0,100,1,1
139,252,135,-143.203,0,255,0,0,100,1,1
140,371,314,35.538,0,255,0,0,100,1,1
141,336,188,76.2035,0,255,0,0,100,1,1
142,123,456,-121.938,0,255,0,0,100,1,1
143,166,159,55.316,0,255,0,0,100,1,1
144,207,381,-25.73,0,255,0,0,100,1,1
145,60,384,154.757,0,255,0,0,100,1,1
146,575,426,-47.8686,0,255,0,0,100,1,1
147,101,51,57.7349,0,255,0,0,100,1,1
148,40,498,-126.617,0,255,0,0,100,1,1
149,82,408,-27.4105,0,255,0,0,100,1,1
150,357,171,-87.2779,0,255,0,0,100,1,1
151,194,337,-15.3791,0,255,0,0,100,1,1
152,178,366,49.6925,0,255,0,0,100,1,1
153,114,399,11.242,0,255,0,0,100,1,1
154,117,496,-151.94,0,255,0,0,100,1,1
155,462,322,-113.677,0,255,0,0,100,1,1
156,328,210,140.031,0,255,0,0,100,1,1
157,378,164,-113.148,0,255,0,0,100,1,1
158,407,144,-161.589,0,255,0,0,100,1,1
159,155,492,-121.866,0,255,0,0,100,1,1
160,338,572,-69.4499,0,255,0,0,100,1,1
161,465,41,66.7961,0,255,0,0,100,1,1
162,505,363,93.4006,0,255,0,0,100,1,1
163,520,469,125.852,0,255,0,0,100,1,1
164,393,406,-64.3442,0,255,0,0,100,1,1
165,258,409,-160.912,0,255,0,0,100,1,1
166,307,385,94.5805,0,255,0,0,100,1,1
167,419,31,-137.437,0,255,0,0,100,1,1
168,451,368,-12.0364,0,255,0,0,100,1,1
169,516,507,24.0543,0,255,0,0,100,1,1
170,337,70,-21.6246,0,255,0,0,100,1,1
171,53,89,-156.581,0,255,0,0,100,1,1
172,465,151,-52.0028,0,255,0,0,100,1,1
173,512,496,-107.107,0,255,0,0,100,1,1
174,250,209,-3.58002,0,255,0,0,100,1,1
175,263,348,87.3259,0,255,0,0,100,1,1
176,517,488,100.933,0,255,0,0,100,1,1
177,132,152,174.331,0,255,0,0,100,1,1
178,38,281,121.323,0,255,0,0,100,1,1
179,288,244,-15.7729,0,255,0,0,100,1,1
180,39,343,-148.494,0,255,0,0,100,1,1
181,406,134,-135.52,0,255,0,0,100,1,1
182,344,26,141.704,0,255,0,0,100,1,1
183,506,174,143.79,0,255,0,0,100,1,1
184,9,401,125.663,0,255,0,0,100,1,1
185,122,566,25.7443,0,255,0,0,100,1,1
186,22,315,-138.388,0,255,0,0,100,1,1
187,391,31,-147.747,0,255,0,0,100,1,1
188,197,211,144.043,0,255,0,0,100,1,1
189,221,69,-28.7521,0,255,0,0,100,1,1
190,570,360,137.425,0,255,0,0,100,1,1
191,478,95,58.2783,0,255,0,0,100,1,1
192,55,398,-15.7885,0,255,0,0,100,1,1
193,115,375,-111.547,0,255,0,0,100,1,1
194,309,79,101.334,0,255,0,0,100,1,1
195,260,291,138.607,0,255,0,0,100,1,1
196,404,123,-171.221,0,255,0,0,100,1,1
197,25,160,142.529,0,255,0,0,100,1,1
198,557,346,-59.7069,0,255,0,0,100,1,1
199,214,346,-113.303,0,255,0,0,100,1,1
200,209,360,5.87158,0,255,0,0,100,1,1
201,533,202,-175.562,0,255,0,0,100,1,1
202,398,517,50.5411,0,255,0,0,100,1,1
203,86,387,-139.974,0,255,0,0,100,1,1
204,110,489,47.1079,0,255,0,0,100,1,1
205,48,142,-40.4806,0,255,0,0,100,1,1
206,513,342,-75.982,0,255,0,0,100,1,1
207,126,351,-69.4665,0,255,0,0,100,1,1
208,254,27,-19.3053,0,255,0,0,100,1,1
209,53,256,-42.7093,0,255,0,0,100,1,1
210,295,58,4.68501,0,255,0,0,100,1,1
211,446,360,79.0818,0,255,0,0,100,1,1
212,415,41,13.5802,0,255,0,0,100,1,1
213,400,212,-161.928,0,255,0,0,100,1,1
214,78,368,-100.763,0,255,0,0,100,1,1
215,476,449,-103.105,0,255,0,0,100,1,1
216,35,566,-8.61662,0,255,0,0,100,1,1
217,125,372,-61.7547,0,255,0,0,100,1,1
218,50,365,-168.55,0,255,0,0,100,1,1
219,446,147,-40.0263,0,255,0,0,100,1,1
220,155,82,15.5002,0,255,0,0,100,1,1
221,338,488,-45.4072,0,255,0,0,100,1,1
222,66,169,-24.4164,0,255,0,0,100,1,1
223,271,133,167.756,0,255,0,0,100,1,1
224,291,581,-23.6577,0,255,0,0,100,1,1
225,340,46,-0.751545,0,255,0,0,100,1,1
226,26,331,85.1855,0,255,0,0,100,1,1
227,242,580,112.534,0,255,0,0,100,1,1
228,289,194,-86.0547,0,255,0,0,100,1,1
229,196,390,10.476,0,255,0,0,100,1,1
230,566,268,-0.192663,0,255,0,0,100,1,1
231,512,257,-125.968,0,255,0,0,100,1,1
232,46,312,119.505,0,255,0,0,100,1,1
233,490,130,43.6846,0,255,0,0,100,1,1
234,336,401,-123.891,0,255,0,0,100,1,1
235,151,445,-30.8243,0,255,0,0,100,1,1
236,318,14,-118.589,0,255,0,0,100,1,1
237,342,422,175.753,0,255,0,0,100,1,1
238,10,517,-55.0108,0,255,0,0,100,1,1
239,63,327,-142.902,0,255,0,0,100,1,1
240,469,515,-72.1741,0,255,0,0,100,1,1
241,118,404,-125.684,0,255,0,0,100,1,1
242,414,399,153.168,0,255,0,0,100,1,1
243,289,87,167.751,0,255,0,0,100,1,1
244,145,101,-118.644,0,255,0,0,100,1,1
245,406,414,105.122,0,255,0,0,100,1,1
246,422,499,-64.2746,0,255,0,0,100,1,1
247,162,415,114.332,0,255,0,0,100,1,1
248,496,142,-45.8718,0,255,0,0,100,1,1
249,543,49,39.3055,0,255,0,0,100,1,1
250,236,229,49.4796,0,255,0,0,100,1,1
251,443,229,4.43396,0,255,0,0,100,1,1
252,200,556,49.0025,0,255,0,0,100,1,1
253,206,146,-8.32092,0,255,0,0,100,1,1
254,406,574,57.6924,0,255,0,0,100,1,1
255,484,181,-169.772,0,255,0,0,100,1,1
256,240,312,31.9774,0,255,0,0,100,1,1
257,11,245,70.2251,0,255,0,0,100,1,1
258,490,298,-68.8943,0,255,0,0,100,1,1
259,278,271,-135.795,0,255,0,0,100,1,1
260,296,74,94.4851,0,255,0,0,100,1,1
261,463,357,-65.6359,0,255,0,0,100,1,1
262,127,472,-21.0919,0,255,0,0,100,1,1
263,562,384,-42.5796,0,255,0,0,100,1,1
264,205,462,61.2864,0,255,0,0,100,1,1
265,71,213,-42.2743,0,255,0,0,100,1,1
266,472,389,-83.4314,0,255,0,0,100,1,1
267,343,235,-25.3313,0,255,0,0,100,1,1
268,10,396,109.677,0,255,0,0,100,1,1
269,135,508,106.363,0,255,0,0,100,1,1
270,549,365,-154.092,0,255,0,0,100,1,1
271,291,378,95.1188,0,255,0,0,100,1,1
272,301,411,-71.8253,0,255,0,0,100,1,1
273,303,227,-109.117,0,255,0,0,100,1,1
274,138,30,-97.347,0,255,0,0,100,1,1
275,161,368,-94.8434,0,255,0,0,100,1,1
276,9,569,141.852,0,255,0,0,100,1,1
277,267,149,55.6573,0,255,0,0,100,1,1
278,531,390,113.988,0,255,0,0,100,1,1
279,40,360,-168.283,0,255,0,0,100,1,1
280,92,529,-49.7543,0,255,0,0,100,1,1
281,322,409,48.454,0,255,0,0,100,1,1
282,571,221,-44.6572,0,255,0,0,100,1,1
283,515,381,42.34,0,255,0,0,100,1,1
284,374,83,-150.431,0,255,0,0,100,1,1
285,386,530,-141.655,0,255,0,0,100,1,1
286,500,410,91.844,0,255,0,0,100,1,1
287,199,222,167.14,0,255,0,0,100,1,1
288,91,68,90.3617,0,255,0,0,100,1,1
289,197,371,14.4906,0,255,0,0,100,1,1
290,524,214,-76.6392,0,255,0,0,100,1,1
291,548,175,137.234,0,255,0,0,100,1,1
292,332,508,41.0016,0,255,0,0,100,1,1
293,282,215,-145.649,0,255,0,0,100,1,1
294,90,565,-155.311,0,255,0,0,100,1,1
295,222,280,-107.867,0,255,0,0,100,1,1
296,427,236,23.3048,0,255,0,0,100,1,1
297,181,493,136.326,0,255,0,0,100,1,1
298,227,231,-19.3666,0,255,0,0,100,1,1
299,366,355,126.92,0,255,0,0,100,1,1
300,187,572,-94.7253,0,255,0,0,100,1,1
301,492,278,84.6426,0,255,0,0,100,1,1
302,134,431,175.431,0,255,0,0,100,1,1
303,464,350,-111.242,0,255,0,0,100,1,1
304,312,118,73.252,0,255,0,0,100,1,1
305,192,136,-150.42,0,255,0,0,100,1,1
306,100,322,172.361,0,255,0,0,100,1,1
307,445,33,-84.7101,0,255,0,0,100,1,1
308,219,567,-125.709,0,255,0,0,100,1,1
309,53,380,64.1778,0,255,0,0,100,1,1
310,368,136,76.0944,0,255,0,0,100,1,1
311,329,232,-40.9275,0,255,0,0,100,1,1
312,376,423,-1.35667,0,255,0,0,100,1,1
313,246,375,-51.6142,0,255,0,0,100,1,1
314,415,493,-151.368,0,255,0,0,100,1,1
315,82,421,146.182,0,255,0,0,100,1,1
316,81,441,151.276,0,255,0,0,100,1,1
317,521,55,-60.3208,0,255,0,0,100,1,1
318,97,338,-123.123,0,255,0,0,100,1,1
319,548,296,-136.994,0,255,0,0,100,1,1
320,237,12,-17.1758,0,255,0,0,100,1,1
321,26,253,-17.872,0,255,0,0,100,1,1
322,547,469,47.9908,0,255,0,0,100,1,1
323,533,293,52.0404,0,255,0,0,100,1,1
324,575,153,153.616,0,255,0,0,100,1,1
325,16,113,-22.1253,0,255,0,0,100,1,1
326,165,136,98.8952,0,255,0,0,100,1,1
327,227,158,167.566,0,255,0,0,100,1,1
328,519,221,-90.3488,0,255,0,0,100,1,1
329,574,436,-72.3719,0,255,0,0,100,1,1
330,537,558,-158.447,0,255,0,0,100,1,1
331,488,228,-32.504,0,255,0,0,100,1,1
332,108,246,139.235,0,255,0,0,100,1,1
333,533,114,-68.8066,0,255,0,0,100,1,1
334,303,492,-106.289,0,255,0,0,100,1,1
335,112,95,-122.906,0,255,0,0,100,1,1
336,501,548,-68.7228,0,255,0,0,100,1,1
337,313,60,-113.951,0,255,0,0,100,1,1
338,509,298,-102.575,0,255,0,0,100,1,1
339,76,339,-80.446,0,255,0,0,100,1,1
340,322,165,83.3642,0,255,0,0,100,1,1
341,360,179,-95.2561,0,255,0,0,100,1,1
342,33,83,68.6775,0,255,0,0,100,1,1
343,281,376,38.8189,0,255,0,0,100,1,1
344,529,374,173.495,0,255,0,0,100,1,1
345,501,179,85.4416,0,255,0,0,100,1,1
346,447,517,173.942,0,255,0,0,100,1,1
347,471,333,20.7242,0,255,0,0,100,1,1
348,556,401,-96.8918,0,255,0,0,100,1,1
349,491,548,119.527,0,255,0,0,100,1,1
350,245,64,63.7673,0,255,0,0,100,1,1
351,309,94,160.097,0,255,0,0,100,1,1
352,501,470,-4.54882,0,255,0,0,100,1,1
353,274,58,143.031,0,255,0,0,100,1,1
354,556,122,-172.824,0,255,0,0,100,1,1
355,119,560,120.458,0,255,0,0,100,1,1
356,30,435,-143.202,0,255,0,0,100,1,1
357,105,433,-148.388,0,255,0,0,100,1,1
358,414,106,55.5982,0,255,0,0,100,1,1
359,562,255,76.5418,0,255,0,0,100,1,1
360,378,25,140.716,0,255,0,0,100,1,1
361,145,13,-132.229,0,255,0,0,100,1,1
362,466,425,103.157,0,255,0,0,100,1,1
363,388,396,-86.5856,0,255,0,0,100,1,1
364,119,425,30.4655,0,255,0,0,100,1,1
365,353,480,111.145,0,255,0,0,100,1,1
366,121,219,-159.847,0,255,0,0,100,1,1
367,115,512,139.914,0,255,0,0,100,1,1
368,560,143,76.5304,0,255,0,0,100,1,1
369,78,123,-43.2648,0,255,0,0,100,1,1
370,110,465,136.965,0,255,0,0,100,1,1
371,58,271,122.392,0,255,0,0,100,1,1
372,166,562,123.367,0,255,0,0,100,1,1
373,150,540,162.814,0,255,0,0,100,1,1
374,65,500,-175.537,0,255,0,0,100,1,1
375,86,177,-1.49664,0,255,0,0,100,1,1
