### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,269,513,-161.387,0,255,0,0,100,1,1
1,71,386,118.578,0,255,0,0,100,1,1
2,468,467,107.112,0,255,0,0,100,1,1
3,25,91,144.82,0,255,0,0,100,1,1
4,518,546,151.392,0,255,0,0,100,1,1
5,378,311,-111.615,0,255,0,0,100,1,1
6,475,321,151.417,0,255,0,0,100,1,1
7,501,270,-116.464,0,255,0,0,100,1,1
8,408,418,-2.94418,0,255,0,0,100,1,1
9,122,326,47.1855,0,255,0,0,100,1,1
10,90,177,-65.9631,0,255,0,0,100,1,1
11,18,529,2.62121,0,255,0,0,100,1,1
12,511,574,-52.541,0,255,0,0,100,1,1
13,476,119,81.7754,0,255,0,0,100,1,1
14,61,213,151.557,0,255,0,0,100,1,1
15,411,113,-108.115,0,255,0,0,100,1,1
16,341,297,-92.7039,0,255,0,0,100,1,1
17,284,465,80.6023,0,255,0,0,100,1,1
18,101,521,-142.799,0,255,0,0,100,1,1
19,137,271,-9.2908,0,255,0,0,100,1,1
20,294,227,-71.5013,0,255,0,0,100,1,1
21,124,21,-63.3823,0,255,0,0,100,1,1
22,573,408,37.3894,0,255,0,0,100,1,1
23,11,515,11.4058,0,255,0,0,100,1,1
24,205,266,-12.1945,0,255,0,0,100,1,1
25,423,171,-130.107,0,255,0,0,100,1,1
26,166,113,126.919,0,255,0,0,100,1,1
27,329,329,-95.9637,0,255,0,0,100,1,1
28,437,568,46.4281,0,255,0,0,100,1,1
29,46,128,168.354,0,255,0,0,100,1,1
30,47,227,-143.289,0,255,0,0,100,1,1
31,74,490,-76.8188,0,255,0,0,100,1,1
32,322,238,103.606,0,255,0,0,100,1,1
33,166,273,-78.7944,0,255,0,0,100,1,1
34,504,92,83.6948,0,255,0,0,100,1,1
35,218,520,-27.3105,0,255,0,0,100,1,1
36,135,385,121.537,0,255,0,0,100,1,1
37,185,435,76.2938,0,255,0,0,100,1,1
38,22,386,140.149,0,255,0,0,100,1,1
39,376,423,136.829,0,255,0,0,100,1,1
40,183,58,-178.387,0,255,0,0,100,1,1
41,404,63,-154.623,0,255,0,0,100,1,1
42,429,305,124.242,0,255,0,0,100,1,1
43,556,433,49.1709,0,255,0,0,100,1,1
44,337,453,-89.0519,0,255,0,0,100,1,1
45,321,359,78.137,0,255,0,0,100,1,1
46,390,474,-120.638,0,255,0,0,100,1,1
47,84,426,152.515,0,255,0,0,100,1,1
48,25,140,71.8551,0,255,0,0,100,1,1
49,395,454,131.725,0,255,0,0,100,1,1
50,367,248,3.12547,0,255,0,0,100,1,1
51,147,513,-88.851,0,255,0,0,100,1,1
52,61,236,-174.293,0,255,0,0,100,1,1
53,526,279,128.594,0,255,0,0,100,1,1
